column,names
Time_Stamp,"timestamp, time"
V_R,"R-Phase voltage, r volt, r phase volt"
V_Y,"Y-Phase voltage. Y volt, y phase volt"
V_B,"B-Phase voltage, b volt"
VRB,"B-R line voltage,b r line volt, br volt"
VRY,R-Y line voltage
VYB,Y-B line voltage
I_R,R-Phase current
I_Y,Y-Phase current
I_B,B-Phase current
kW,Total Active power
kVA,Total Apparent power
PF_R,R-phase powerfactor
PF_Y,Y-phase powerfactor
PF_B,B-phase powerfactor
THD_V_R,R-Phase Voltage Total Harmonics Distortion
THD_V_Y,Y-Phase Voltage Total Harmonics Distortion
THD_V_B,B-Phase Voltage Total Harmonics Distortion
THD_I_R,R-Phase Current Total Harmonics Distortion
THD_I_Y,Y-Phase Current Total Harmonics Distortion
THD_I_B,B-Phase Current Total Harmonics Distortion
FREQUENCY,
Frwd_kWh,Forward Active Energy 
REV_ACTENERGY,
FRWD_APPENERGY,
FRWD_REACTENERGY,
kVA_R,R-Phase Apparent Power 
kVA_Y,Y-Phase Apparent Power
kVA_B,B-Phase Apparent Power
KVAH_FWD,Forward Apparent Energy 
KVAH_REV,Reverse Apparent Energy 
kVAr_R,R-Phase Reactive Power
KVARH_LAG_FWD,Forward Lag Reactive Energy 
KVARH_LAG_REV,Reverse Lag Reactive Energy 
KVARH_LEAD_FWD,Forward Lead Reactive Energy 
KVARH_LEAD_REV,Reverse Lead Reactive Energy 
kVAr_Y,Y-Phase Reactive Power
kVAr_B,B-Phase Reactive Power
kWH_Fwd,Forward Active Energy
KWH_REV,Reverse Active Energy
kW_R,R-Phase Active Power 
kW_Y,Y-Phase Active Power
kW_B,B-Phase Active Power
kVA_1,
REV_APPENERGY,
REV_REACTENERGY,
TOT_kVAh,
TOT_KVARH_LEG,
TOT_kWh_Fwd_kWh_Active_Energy_Sent_Out,
Unnamed_column1,
TEMP4,Oil temperature
TOT_KVAH_1,
TOT_KVARH_LEG_1,
TOT_KWH,
mainId_id,"Dts, DT, Transformers, transformer"
Manufacturer_name,"Manufacturer name, Manufacturer, Manufacture, Manufacture name, make, made"
Transformer_location_name,"Transformer location name, Transformer location, location of the transformer, location of transformer"
Transformer_number,"Transformer number, Transformer serial number"
Meter_number,Meter number
Manufacturer_Serial_number,"Manufacturer Serial number, Manufacturer  number"
Section,Section
Sub_Division,Sub Division
Division,Division
Circle,Circle
Region,Region
Latitude,"Latitude, lat"
Longitude,"Longitude, long"
Status,Status
Transformers_Name_plate,Transformers Name plate
Volts_H_V,"Volts H V, Volts HV"
Volts_L_V,"Volts L V, Volts LV"
Amperes_H_V,"Amperes H V, Amperes HV"
Amperes_L_V,"Amperes L V, Amperes HV"
Phases_HV,"Phases HV, Phases H V"
Phases_LV,"Phases LV, Phases L V "
Type_of_Cooling,"Type of Cooling, Type Cooling, Cooling Type"
Impedance_volts,"Impedance volts, Impedance volt,  volts Impedance, volt Impedance"
Connection_symbols,"Connection symbols, Connection symbol"
Core_and_winding,"Core and winding, Core  winding, winding  and Core"
Total_weight,Total weight 
Oil,Oil
Year_of_manufacturer,"Year of manufacturer,  manufacturer year , manufacture year, year of manufacture, make year, year of make, made year, year of made"
