DT ID,AREA,ALERT,RATED CAPACITY,TIME_STAMP,LOAD_DATA,ALERT STATUS,ENERGY,MAKE,MANUFACTURE YEAR
Sno 100009,Nungampakkam,Aert 1,750,2021-06-12 00:00:00,300,clear,808069,Siemens,1994
Sno 100010,TNagar,Alert 3,300,2021-06-13 00:00:00,100,pending,818069,BDI,2000
Sno 100011,Velacherry,Alert 5,750,2021-06-14 00:00:00,100,clear,518069,Siemens,1996
Sno 100012,Madipakkam,Alert 3,750,2021-08-21 00:00:00,100,pending,618069,Siemens,1992
Sno 100013,Anna Nagar,Alert 10,750,2022-06-14 00:00:00,500,clear,613456,BDI,1995
Sno 100014,R A Puram,Alert 3,750,2022-01-14 00:00:00,500,pending,789654,Siemens,1995
Sno 100015,Anna Arivalyam,Alert 5,500,2022-01-24 00:00:00,300,clear,126784,Siemens,1995
Sno 100016,Arcot,Alert 3,500,2021-11-13 00:00:00,400,pending,674567,Siemens,1999
Sno 100017,Valluvar kottam,Alert 4,500,2021-11-18 00:00:00,500,pending,879654,Triad Magnetics,1992
Sno 100009,Nungampakkam,Aert 1,750,2022-06-12 00:00:00,300,clear,808069,Siemens,1994
Sno 100010,TNagar,Alert 3,300,2022-06-13 00:00:00,100,clear,818069,BDI,2000
Sno 100011,Velacherry,Alert 5,750,2022-06-14 00:00:00,100,clear,518069,Siemens,1996
Sno 100012,Madipakkam,Alert 3,750,2022-06-15 00:00:00,100,clear,618069,Siemens,1992
Sno 100013,Anna Nagar,Alert 10,750,2022-06-16 00:00:00,500,clear,613456,BDI,1995
Sno 100014,R A Puram,Alert 3,750,2022-06-17 00:00:00,500,pending,789654,Siemens,1995
Sno 100015,Anna Arivalyam,Alert 5,500,2022-06-18 00:00:00,300,pending,126784,Siemens,1995
Sno 100016,Arcot,Alert 3,500,2022-06-19 00:00:00,400,pending,674567,Siemens,1999
Sno 100017,Valluvar kottam,Alert 4,500,2022-06-20 00:00:00,500,pending,879654,Triad Magnetics,1992
Sno 100009,Nungampakkam,Alert 3,750,2022-07-25 00:00:00,300,pending,808069,Siemens,1994
Sno 100010,TNagar,Alert 5,300,2022-07-26 00:00:00,100,pending,818069,BDI,2000
Sno 100011,Velacherry,Alert 3,750,2022-07-27 00:00:00,100,pending,518069,Siemens,1996
Sno 100012,Madipakkam,Alert 4,750,2022-07-28 00:00:00,100,pending,618069,Siemens,1992
Sno 100013,Anna Nagar,Alert 3,750,2022-07-29 00:00:00,500,clear,613456,BDI,1995
Sno 100014,R A Puram,Alert 5,750,2022-07-30 00:00:00,500,pending,789654,Siemens,1995
Sno 100015,Anna Arivalyam,Alert 3,500,2022-07-31 00:00:00,300,pending,126784,Siemens,1995
Sno 100016,Arcot,Alert 4,500,2022-08-01 00:00:00,400,pending,674567,Siemens,1999
Sno 100017,Valluvar kottam,Alert 4,500,2022-08-02 00:00:00,500,pending,879654,Triad Magnetics,1992
