S.No.,transformer,Date & Time Stamp,V(R),V(Y),V(B),VRB,VRY,VYB,I(R),I(Y),I(B),kW,kVA,PF(R),PF(Y),PF(B),THD(V-R),THD(V-Y),THD(V-B),THD(I-R),THD(I-Y),THD(I-B),FREQUENCY,Frwd.kWh,REV.ACTENERGY,FRWD.APPENERGY,FRWD.REACTENERGY,kVA-R,kVA-Y,kVA-B,KVAH.FWD,KVAH.REV,kVAr-R,KVARH.LAG.FWD,KVARH.LAG.REV,KVARH.LEAD.FWD,KVARH.LEAD.REV,kVAr-Y,kVAr-B,kWH-Fwd,KWH.REV,kW-R,kW-Y,kW-B,kVA,REV.APPENERGY,REV.REACTENERGY,TOT.kVAh,TOT.KVARH.LEG,TOT.kWh/Fwd.kWh/Active Energy Sent Out,,TEMP4,TOT.KVAH,TOT.KVARH.LEG,TOT.KWH
1,SNO1000005,16-09-2022 00:00,239.8,237.5,236.6,82.6,108.9,118.8,72.82,73.1,1,0.99,0.99,1.4,1.3,1.6,1,1.1,0.7,419,408,413,50,"8,98,874.26",-,"9,11,626.03","1,38,91,631.00",3.26,"9,11,62,599.00",4,0.82,19.6,"1,38,91,631.00",3,"21,083.00","1,028.00",19.6,19.6,4.01,27.81,"8,98,87,409.00",-,19.65,25.37,2,8.09,4,3,9.63,6.52,10.24,652.68,"9,11,626.03","1,38,235.69","8,98,874.26"
2,SNO1000005,15-09-2022 23:57,239,237.3,236.2,82.5,105.8,111.2,69.86,70.5,1,1,0.98,1.3,1.6,1.7,1.07,1.09,0.72,419,408,413,50,"8,98,871.24",-,"9,11,622.98","1,38,91,595.00",2.62,"9,11,62,293.00",4,1.24,19.5,"1,38,91,595.00",3,"21,083.00","60,402.00",19.5,19.5,5.57,26.04,"8,98,87,107.00",-,19.53,24.29,1,9.43,4,3,7.64,4.88,8.5,652.68,"9,11,622.98","1,38,235.32","8,98,871.24"
3,SNO1000005,15-09-2022 23:55,238.7,236.4,236,99.7,125.1,132.8,83.49,84.1,1,0.99,0.98,1.6,1.3,1.3,1,1.02,0.64,416,406,412,50,"8,98,867.77",-,"9,11,619.47","1,38,91,549.00",3.44,"9,11,61,943.00",4,1.54,23.6,"1,38,91,549.00",3,"21,083.00","36,927.00",23.6,23.6,5.67,31.03,"8,98,86,760.00",-,23.62,28.84,2,10.64,4,3,4.04,3.19,4.65,652.5,"9,11,619.47","1,38,234.87","8,98,867.77"
4,SNO1000005,15-09-2022 23:52,238.3,236.6,235.9,94.8,108.8,121.6,75.96,76.5,1,1,0.98,1.5,1.2,1.4,0.95,1.14,0.68,417,406,411,50,"8,98,864.31",-,"9,11,615.99","1,38,91,506.00",2.29,"9,11,61,594.00",4,1.67,22.4,"1,38,91,506.00",3,"21,083.00","36,001.00",22.4,22.4,5.07,28.51,"8,98,86,414.00",-,22.4,25.05,1,9.02,4,3,7.53,5.9,7.78,652.6,"9,11,615.99","1,38,234.43","8,98,864.31"
5,SNO1000005,15-09-2022 23:50,238.4,235.6,236,117.8,119.2,103.4,79.56,80.1,1,1,0.98,1.4,1.4,1.2,0.81,1.05,0.69,418,405,411,50,"8,98,861.46",-,"9,11,613.11","1,38,91,472.00",2.2,"9,11,61,307.00",4,1.84,27.9,"1,38,91,472.00",3,"21,083.00","5,738.00",27.9,27.9,5.01,24.21,"8,98,86,129.00",-,27.89,27.46,1,9.05,4,3,7.53,5.9,7.78,652.6,"9,11,613.11","1,38,234.10","8,98,861.46"
6,SNO1000005,15-09-2022 23:47,238.3,235.7,235.5,100,105.2,122.8,76.41,77,1,0.99,0.98,1.3,1.3,1.4,1.05,1.17,0.81,415,405,411,50,"8,98,858.17",-,"9,11,609.80","1,38,91,437.00",3.82,"9,11,60,975.00",4,1.51,23.6,"1,38,91,437.00",3,"21,083.00","36,621.00",23.6,23.6,4.35,28.55,"8,98,85,800.00",-,23.64,24.22,2,9.69,4,3,11.65,7.67,12.29,652.89,"9,11,609.80","1,38,233.75","8,98,858.17"
7,SNO1000005,15-09-2022 23:45,237.4,235.6,234.9,91.9,110.4,103,70.96,71.5,1,0.99,0.98,1.7,1.4,1.6,0.92,1.07,0.72,415,404,410,49.9,"8,98,855.02",-,"9,11,606.61","1,38,91,395.00",2.65,"9,11,60,657.00",4,1.54,21.6,"1,38,91,395.00",3,"21,083.00","2,442.00",21.6,21.6,4.85,23.96,"8,98,85,485.00",-,21.63,25.38,2,9.04,4,3,12.12,7.77,12.81,652.74,"9,11,606.61","1,38,233.33","8,98,855.02"
8,SNO1000005,15-09-2022 23:42,237.2,234.9,235,109.7,114.3,109.6,77.53,78,1,1,0.98,1.6,1.5,1.6,0.89,1.11,0.68,416,403,410,49.9,"8,98,851.89",-,"9,11,603.46","1,38,91,357.00",2.48,"9,11,60,342.00",4,1.45,25.8,"1,38,91,357.00",3,"21,083.00","11,606.00",25.8,25.8,5.22,25.55,"8,98,85,172.00",-,25.84,26.14,1,9.15,4,3,7.52,4.89,8.28,652.68,"9,11,603.46","1,38,232.95","8,98,851.89"
9,SNO1000005,15-09-2022 23:39,237.6,235.3,234.4,96.3,111.5,124.9,77.44,77.8,1,0.99,0.99,1.2,1.5,1.4,0.96,1.07,0.76,415,402,412,50,"8,98,848.55",-,"9,11,600.09","1,38,91,318.00",3.77,"9,11,60,004.00",4,1.69,22.7,"1,38,91,318.00",3,"21,083.00","19,203.00",22.7,22.7,3.49,28.93,"8,98,84,838.00",-,22.68,25.83,1,8.95,4,3,6.95,4.55,7.74,652.62,"9,11,600.09","1,38,232.56","8,98,848.55"
10,SNO1000005,15-09-2022 23:37,236.8,235.2,234.9,99.9,115.6,112.6,76.28,76.8,1,0.99,0.99,1.3,1.2,1.5,0.93,1.04,0.65,414,403,410,50,"8,98,845.25",-,"9,11,596.76","1,38,91,279.00",3.69,"9,11,59,672.00",4,0.64,23.5,"1,38,91,279.00",3,"21,083.00","9,064.00",23.5,23.5,4.21,26.09,"8,98,84,508.00",-,23.5,26.7,2,8.54,4,3,4.54,4.15,4.79,652.42,"9,11,596.76","1,38,232.16","8,98,845.25"
